Subject,Same Day,Year,participant_id,Age,Gender,kbit_std_v,Delay,Day 1 PS object target,Day 1 PS location target,Day 1 PS animal target,Day 1 PC Ab target,Day 1 PC Bc target,Day 1 PC Ac target,Day 1 PC Cb target,Day 1 PC Cb lure,Day 1 PC Ba target,Day 1 PC Ca target,Day 2 PS object target,Day 2 PS location target,Day 2 PS animal target,Day 2 PS animal lure,Day 2 PS animal foil,Day 2 PC Ab target,Day 2 PC Bc target,Day 2 PC Ac target,Day 2 PC Cb target,Day 2 PC Ba target,Day 2 PC Ca target,Day 1 PS animal lure,Day 1 PC Ab lure,Day 1 PS object foil,Day 1 PS location foil,Day 2 PS object lure,Day 2 PS location foil,Day 2 PC Ab lure,Day 2 PC Bc lure,Day 2 PC Ac lure,Day 2 PC Cb lure,Day 2 PC Ba lure,Day 2 PC Ca lure,Day 1 PS location lure,Day 1 PC Bc lure,Day 1 PC Ac lure,Day 1 PC Ba lure,Day 1 PC Ca lure,Day 2 PS object foil,Day 2 PS location lure,Day 1 PS object lure,Day 1 PS animal foil
MDEM100,True,1,MDEM100,4.07,Girl,122.0,True,1,4,6,3,1,3,1,8,2,4,4,3,3,2,4,4,3,3,4,2,2,2,6,6,3,1,5,5,6,6,5,7,7,2,8,6,7,5,4,1,2,1
MDEM101,True,1,MDEM101,5.61,Boy,90.0,True,2,8,4,5,3,4,3,6,4,3,3,1,4,1,4,1,3,3,3,2,2,0,4,3,0,3,4,8,6,6,6,7,7,1,6,5,5,6,3,4,4,5
MDEM103,True,1,MDEM103,4.4,Girl,116.0,True,4,6,5,5,5,4,2,7,5,5,6,3,4,2,3,1,3,1,4,5,4,3,4,2,2,3,2,8,6,8,5,4,5,1,4,5,4,4,0,4,3,1
MDEM104,True,1,MDEM104,4.54,Girl,116.0,False,9,9,7,8,8,9,9,0,9,9,9,8,8,1,0,7,9,9,6,8,9,0,1,0,0,0,0,2,0,0,3,1,0,0,1,0,0,0,0,1,0,2
MDEM105,True,1,MDEM105,4.36,Girl,114.0,False,4,4,4,3,2,3,3,6,4,6,4,3,1,1,7,5,8,5,8,3,3,2,6,4,2,2,4,4,1,4,1,6,6,3,7,6,5,3,3,2,1,3
MDEM106,True,1,MDEM106,6.8,Girl,97.0,False,9,9,9,5,5,9,8,1,8,9,9,8,9,0,0,4,7,5,4,6,8,0,4,0,0,0,0,5,2,4,5,3,1,0,4,0,1,0,0,1,0,0
MDEM107,True,1,MDEM107,5.82,Boy,109.0,False,8,8,9,6,9,9,8,1,6,9,9,9,9,0,0,8,9,8,9,9,9,0,3,0,0,0,0,1,0,1,0,0,0,1,0,0,3,0,0,0,1,0
MDEM108,True,1,MDEM108,7.51,Boy,100.0,False,8,9,9,7,8,9,9,0,9,9,9,8,7,1,1,6,8,8,6,7,7,0,2,0,0,0,0,3,1,1,3,2,2,0,1,0,0,0,0,1,1,0
MDEM109,True,1,MDEM109,4.69,Boy,100.0,True,6,5,7,3,1,2,4,5,3,2,4,3,8,0,1,4,2,2,3,1,5,1,6,3,3,2,4,5,7,7,6,8,4,1,8,7,6,7,3,2,0,1
MDEM110,True,1,MDEM110,4.95,Girl,116.0,True,5,8,7,3,4,6,6,3,4,4,2,7,6,1,2,8,8,8,6,7,9,0,6,1,0,3,1,1,1,1,3,2,0,1,5,3,5,5,4,1,3,2
MDEM111,True,1,MDEM111,5.83,Boy,,True,3,2,3,4,1,2,4,5,1,2,1,3,2,2,5,4,3,2,3,3,5,2,5,5,5,2,2,5,6,7,6,6,4,2,8,7,8,7,6,4,1,4
MDEM113,True,1,MDEM113,4.6,Girl,144.0,True,2,2,3,2,3,2,1,8,5,4,2,1,3,2,4,6,4,1,2,1,3,4,7,5,6,3,6,3,5,8,7,8,6,1,6,7,4,5,4,2,2,2
MDEM115,True,1,MDEM115,6.14,Girl,103.0,True,3,6,3,3,3,6,2,7,5,6,2,5,3,3,3,2,2,4,1,1,1,4,6,4,1,2,3,7,7,5,8,8,8,2,6,3,4,3,5,1,2,2
MDEM116,True,1,MDEM116,4.18,Girl,107.0,True,2,5,2,3,3,4,3,6,0,5,6,4,3,3,3,1,2,4,3,2,3,3,6,5,4,0,3,8,7,5,6,7,6,0,6,5,9,4,3,2,2,4
